Mask No,PRODUCT_NAME,LEASE_TENOR_INCLUDING_HP_cluster,VEHICLE_AGE,YOM,LEASE_TENOR_INCLUDING_HP,TOTAL INCOME_NUM,TOTAL INCOME,CUSTOMER AGE,Exp,Sub_purpose_code_based_on_risk,CRIB_SCORE,Percentage_of_Total_Current_Balance_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Arrears_Amount_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Installments_to_Total_Current_Balance_slabs,Cluster
1091,Three Wheeler-Lease-Registered,36-48,19,2005,37,100000,100000-120000,48,0.627376445,Low_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Red
1092,Three Wheeler-Lease-Registered,36-48,12,2012,37,100000,100000-120000,60,0.222632979,Low_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Green
1093,CASH IN HAND,60+,13,2011,61,75000,60000-80000,46,0.773310968,Medium_risk_sub_purpose_code,Above 80,between 100 - 150 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
1094,Three Wheeler-Lease-Registered,24-36,16,2008,25,90000,80000-100000,33,0.61394058,Low_risk_sub_purpose_code,60-80,less than 50 percentage,between 1 - 5 percentage,above 10 percentage,Green
1095,Three Wheeler-Lease-Registered,48-60,13,2011,49,120000,120000+,29,0.636645161,Low_risk_sub_purpose_code,20-40,between 50 - 100 percentage,between 10 - 15 percentage,between 2- 5 percentage,Green
1096,Three Wheeler-Lease-Registered,24-36,12,2012,31,88000,80000-100000,38,0.384512201,Low_risk_sub_purpose_code,60-80,between 50 - 100 percentage,between 5 - 10 percentage,between 5- 10 percentage,Red
1097,Three Wheeler-Lease-Registered,60+,9,2015,61,100000,100000-120000,45,0.756726957,Low_risk_sub_purpose_code,60-80,between 100 - 150 percentage,between 1 - 5 percentage,between 2- 5 percentage,Red
1098,Three Wheeler-Lease-Registered,< 24,9,2015,13,70000,60000-80000,48,0.237496522,Low_risk_sub_purpose_code,40-60,between 50 - 100 percentage,less than 1 percentage,between 5- 10 percentage,Green
1099,Three Wheeler-Lease-Registered,36-48,13,2011,37,120000,120000+,53,0.392473618,Low_risk_sub_purpose_code,Missing,less than 50 percentage,less than 1 percentage,Missing,Green
1101,Three Wheeler-Lease-Registered,36-48,13,2011,37,75000,60000-80000,44,0.51627871,Medium_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,above 15 percentage,between 2- 5 percentage,Green
1104,Three Wheeler-Lease-Registered,60+,11,2013,61,50000,40000-60000,19,0.823480952,Medium_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
1105,Three Wheeler-Lease-Registered,48-60,13,2011,55,5500,< 40000,21,8.194962581,Medium_risk_sub_purpose_code,Missing,between 150 - 200 percentage,less than 1 percentage,less than 2 percentage,Green
1106,Three Wheeler-Lease-Registered,48-60,15,2009,49,75000,60000-80000,30,0.74433791,Medium_risk_sub_purpose_code,60-80,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
1107,Three Wheeler-Lease-Registered,36-48,16,2008,36,60000,60000-80000,36,0.452129032,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
1109,Three Wheeler-Lease-Registered,48-60,11,2013,49,95000,80000-100000,38,0.624481865,Low_risk_sub_purpose_code,Missing,between 150 - 200 percentage,above 15 percentage,between 2- 5 percentage,Red
1110,CASH IN HAND,24-36,16,2008,25,200000,120000+,64,0.512958065,Low_risk_sub_purpose_code,Missing,less than 50 percentage,less than 1 percentage,above 10 percentage,Green
1111,Three Wheeler-Lease-Registered,36-48,15,2009,37,65000,60000-80000,30,0.347443189,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
1112,Three Wheeler-Lease-Registered,48-60,15,2009,49,75000,60000-80000,24,0.621674419,Low_risk_sub_purpose_code,0-20,Missing,Missing,Missing,Green
